Wavelength (nm),Abs (data from https://data.hpc.imperial.ac.uk/resolve/?doi=8763)
385.0054321,0.054148093
383.9976501,0.05425458
382.9896851,0.054532692
381.9815369,0.054717161
381.0120239,0.054958407
380.0036316,0.055114932
378.9950562,0.055081401
377.9863281,0.055253051
377.0162354,0.055576667
376.0072021,0.055886067
374.9980164,0.056023344
373.988678,0.056016333
373.0180054,0.056201287
372.0083618,0.056449164
370.9985657,0.056626637
369.9886169,0.056840792
369.017395,0.057073124
368.0071716,0.057342947
366.9967346,0.05766508
365.9862366,0.057793308
365.0144043,0.058111511
364.0035706,0.058449972
362.9925842,0.058432914
361.9814453,0.058525112
361.0090942,0.058943432
359.9976807,0.058998581
358.986084,0.058961518
358.0133057,0.059064981
357.0014648,0.059687633
355.9894714,0.059798099
355.0162354,0.060059246
354.0039673,0.06015851
352.9915466,0.060538232
352.0179138,0.060664009
351.005188,0.060902148
349.9923706,0.061202224
349.0183411,0.061490815
348.0052185,0.061851501
346.9919739,0.062081691
346.0175171,0.062565632
345.0039368,0.062908061
343.9902344,0.063280918
343.0154114,0.063508689
342.0014648,0.06356781
340.9873657,0.063808292
340.0121155,0.063966274
338.9977722,0.06429597
337.9832153,0.064538956
337.0075989,0.064748012
335.9928284,0.06501095
335.0169678,0.06513457
334.0018921,0.065437943
332.9866943,0.065670796
332.0104065,0.06599573
330.9949646,0.066034459
330.0184631,0.066317476
329.0027161,0.06644246
327.986908,0.066604391
327.0099487,0.06673193
325.9938354,0.06706389
325.0166931,0.067344613
324.0003357,0.067674011
322.9837952,0.068017349
322.0062561,0.068291694
320.989502,0.068688877
320.0117188,0.069111705
318.9946899,0.069793835
318.0166626,0.070789173
316.9993896,0.071654648
315.9819946,0.073206693
315.0036011,0.074738204
313.9859314,0.077266246
313.0072937,0.080427401
311.9893799,0.084224015
311.010498,0.08889477
309.9923401,0.094844051
309.0132141,0.102143094
307.9948425,0.111095399
307.0155029,0.121038549
305.9968262,0.135168329
305.0172119,0.153461248
303.9983521,0.17922011
303.0185242,0.211459383
301.9993896,0.249853045
301.0193176,0.300012618
299.9999084,0.367323995
299.0196228,0.449378163
298.0000305,0.542313159
297.0195007,0.623177528
295.9996338,0.71501106
295.0188904,0.801075339
293.9988098,0.873098612
293.0178223,0.934279442
291.997467,0.996875703
291.0162964,1.063871503
289.9957581,1.137763858
289.0143127,1.223314881
287.9935303,1.294540763
287.0118713,1.350218058
285.9908752,1.399659991
285.0090027,1.43648982
283.9877319,1.461329341
283.0056458,1.470587373
281.9841614,1.471070528
281.0018311,1.463040948
280.0194397,1.450437069
278.9976501,1.433944225
278.0150146,1.419363618
276.9929504,1.40134871
276.0101318,1.378377438
274.9878845,1.347213745
274.0048218,1.309350371
272.9823608,1.27144289
271.999115,1.231229186
271.0157166,1.194621205
269.9929504,1.14310658
269.0093994,1.094512939
267.9863586,1.051009893
267.0025635,1.009135365
266.0187073,0.964739621
264.9953918,0.91209805
264.0112915,0.862775743
262.9877319,0.821861625
262.0034485,0.780795276
261.0190735,0.734805107
259.9951782,0.699317634
259.0106201,0.663419068
257.9865723,0.627389371
257.00177,0.598244071
256.0169067,0.56830436
254.9925232,0.540752471
254.007431,0.521218717
252.9828796,0.509038746
251.9976196,0.505067885
251.0122223,0.511042416
249.9873505,0.540874362
249.0018158,0.595623493
248.0161438,0.678875208
246.9909821,0.787769795
246.0051422,0.926205039
245.0191956,1.031798959
243.9937134,1.033898592
243.0076141,1.016593337
241.9819641,1.016363025
240.9956512,1.045677304
240.0092621,1.08692646
238.9832916,1.117600203
237.9966888,1.131713629
237.010025,1.133499861
235.9837952,1.117486238
234.9969177,1.082542419
234.0099792,1.042311072
232.9834747,1.000770092
231.9963379,0.950053394
231.00914,0.906033874
229.9823303,0.836848497
228.9949188,0.797348917
228.0074615,0.748889923
226.9804077,0.664516866
225.9927673,0.595909417
225.0050201,0.523515463
224.0171967,0.412432641
222.9897614,0.331293732
222.00177,0.339316994
221.0136871,0.275074124
219.9860229,0.410139084
218.9977722,0.267466366
218.0094452,0.273524702
216.9814911,0.265778154
215.9929962,0.200624615
215.0043945,0.291248441
214.0157471,0.288072825
212.9874573,0.185891539
211.9986572,0.306471586
211.0097198,0.220284417
209.9811859,0.115564749
208.9921112,0.073137306
208.0029755,0.238660365
207.0137634,0.107553609
205.9848785,0.108605892
204.9954834,0.16566737
204.0060425,0.078211427
203.01651,0.238035157
201.9873047,0.164778277
200.9976196,0.093953304
200.007843,0.130452544
